% f evaluations | g evaluations | best noise-free fitness - Fopt (2.997000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.090113928e+03 +2.120083928e+03 +2.120083928e+03 +5.9671e-01 -3.8264e-02 +7.4769e-01 +1.6230e+00 -1.3415e-01 -1.3414e-01 +1.6792e+00 +8.6743e-01 -3.6947e-01 +6.4256e-01
2 0 +1.734222334e+03 +1.764192334e+03 +1.764192334e+03 -3.6342e-01 -3.6573e-01 +3.4196e-01 -1.8133e+00 -1.6249e+00 -4.6229e-01 -9.1283e-01 +4.1425e-01 -8.0802e-01 -1.3123e+00
3 0 +1.679613005e+03 +1.709583005e+03 +1.709583005e+03 +1.5656e+00 -1.2578e-01 +1.6753e-01 -1.3247e+00 -4.4438e-01 +2.1092e-01 -1.0510e+00 +4.7570e-01 -5.0064e-01 -1.9169e-01
4 0 +1.649351189e+03 +1.679321189e+03 +1.679321189e+03 -5.0171e-01 +1.9523e+00 +8.6503e-02 -9.5771e-01 +9.2254e-01 -1.1208e+00 +3.0886e-01 -1.8597e+00 -1.2282e+00 +2.9686e-01
6 0 +1.411193979e+03 +1.441163979e+03 +1.441163979e+03 +4.2408e-01 -2.8508e-01 -5.7692e-01 +7.1168e-01 +1.1310e+00 +1.0313e+00 -7.3922e-01 -2.0921e-01 +4.3126e-01 +1.0755e+00
34 0 +1.375185793e+03 +1.405155793e+03 +1.405155793e+03 +8.7753e-02 -7.9725e-01 +1.7580e-01 -5.7716e-01 +1.0751e+00 -4.7057e-02 -7.2550e-01 -2.2139e-01 +5.1293e-01 -4.6372e-01
51 0 +1.041894835e+03 +1.071864835e+03 +1.071864835e+03 -9.7025e-01 -1.1064e+00 -4.1612e-01 -1.0008e+00 +2.5760e+00 +7.2362e-02 -1.3144e+00 -9.3647e-01 -2.5178e-01 -1.8602e+00
101 0 +6.367710122e+02 +6.667410122e+02 +6.667410122e+02 +8.1757e-02 -3.7165e+00 -1.0044e+00 +8.7043e-01 +3.3916e+00 +1.6277e+00 -2.5782e+00 -2.7788e+00 +1.7358e+00 -6.8939e-01
151 0 +6.123411424e+02 +6.423111424e+02 +6.423111424e+02 -4.8550e-01 -1.4965e+00 -2.5181e+00 -1.4214e+00 +4.9067e+00 +1.8731e+00 -2.8837e+00 -2.5608e+00 -8.7634e-03 +3.5300e-01
351 0 +5.673745293e+02 +5.973445293e+02 +5.973445293e+02 +5.3171e-01 -3.3185e+00 -2.8863e+00 -9.3381e-01 +4.9154e+00 +2.0688e+00 -2.3053e+00 -2.2230e+00 +1.6327e+00 -2.6868e+00
401 0 +5.016444147e+02 +5.316144147e+02 +5.316144147e+02 +1.2425e+00 -2.8815e+00 -4.3655e+00 +1.3728e-01 +4.4714e+00 +3.0809e+00 -2.8204e+00 -2.2482e+00 +5.9130e-01 -3.8257e+00
483 0 +4.926918386e+02 +5.226618386e+02 +5.226618386e+02 +2.1580e+00 -2.5778e+00 -2.1062e+00 -9.1324e-01 +3.1765e+00 +2.3713e+00 -3.1781e+00 -3.7745e+00 -1.3581e-01 -2.4536e+00
501 0 +3.370987280e+02 +3.670687280e+02 +3.670687280e+02 +1.7353e+00 -1.6576e+00 -2.0385e+00 -1.3915e+00 +3.9157e+00 +2.7821e+00 -4.7202e+00 -2.8989e+00 +1.2689e+00 -1.0141e+00
551 0 +2.465817300e+02 +2.765517300e+02 +2.765517300e+02 +1.1318e+00 -1.8284e+00 -2.1105e+00 -1.5256e+00 +4.2580e+00 +2.9474e+00 -3.5617e+00 -2.5770e+00 +5.3992e-02 -2.0103e+00
633 0 +2.353625779e+02 +2.653325779e+02 +2.653325779e+02 +8.1939e-01 -1.5756e+00 -2.4273e+00 -1.2089e+00 +3.9001e+00 +2.7738e+00 -3.7327e+00 -3.5791e+00 +8.5525e-01 -9.0727e-01
751 0 +2.267868993e+02 +2.567568993e+02 +2.567568993e+02 +4.0158e-01 -1.4965e+00 -3.0041e+00 -2.2848e+00 +3.3094e+00 +3.2112e+00 -3.6739e+00 -2.8016e+00 +5.8095e-01 -2.8536e+00
801 0 +2.262539967e+02 +2.562239967e+02 +2.562239967e+02 +6.1093e-01 -1.5089e+00 -3.2090e+00 -8.6845e-01 +3.7393e+00 +2.8978e+00 -3.8479e+00 -3.1032e+00 +5.0000e-01 -2.1854e+00
828 0 +2.122401427e+02 +2.422101427e+02 +2.422101427e+02 +2.9219e-01 -1.2320e+00 -3.4991e+00 -1.7969e+00 +2.4665e+00 +3.1538e+00 -3.8074e+00 -3.4554e+00 +1.2259e+00 -1.5387e+00
869 0 +2.113499027e+02 +2.413199027e+02 +2.413199027e+02 +7.6570e-01 -2.1035e+00 -3.9960e+00 -8.5027e-01 +3.4176e+00 +3.2157e+00 -3.7298e+00 -2.9100e+00 +6.5186e-01 -1.6818e+00
901 0 +1.689322731e+02 +1.989022731e+02 +1.989022731e+02 +1.3453e+00 -8.6070e-01 -3.6565e+00 -2.3121e+00 +3.3787e+00 +3.6152e+00 -3.9128e+00 -3.2027e+00 +6.3193e-01 -1.5902e+00
