% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.235000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.797160518e+00 -5.055283948e+01 -5.055283948e+01 +5.9671e-01 -3.8264e-02
3 0 +1.211168073e+00 -5.113883193e+01 -5.113883193e+01 -1.3415e-01 -1.3414e-01
6 0 +8.084661496e-01 -5.154153385e+01 -5.154153385e+01 -3.6342e-01 -3.6573e-01
10 0 +4.411484884e-02 -5.230588515e+01 -5.230588515e+01 -8.0802e-01 -1.3123e+00
61 0 +2.070767747e-02 -5.232929232e+01 -5.232929232e+01 -8.9119e-01 -1.0957e+00
74 0 +1.120721295e-02 -5.233879279e+01 -5.233879279e+01 -8.5055e-01 -1.2811e+00
79 0 +6.402771653e-03 -5.234359723e+01 -5.234359723e+01 -9.2081e-01 -1.0791e+00
101 0 +4.806717373e-03 -5.234519328e+01 -5.234519328e+01 -8.4900e-01 -1.3476e+00
112 0 +8.102614163e-04 -5.234918974e+01 -5.234918974e+01 -8.5224e-01 -1.3150e+00
211 0 +5.907013402e-04 -5.234940930e+01 -5.234940930e+01 -8.5153e-01 -1.3216e+00
222 0 +4.689485497e-04 -5.234953105e+01 -5.234953105e+01 -8.5198e-01 -1.3191e+00
229 0 +4.065966301e-04 -5.234959340e+01 -5.234959340e+01 -8.6357e-01 -1.2775e+00
239 0 +3.936696434e-04 -5.234960633e+01 -5.234960633e+01 -8.5856e-01 -1.2958e+00
240 0 +1.226957754e-04 -5.234987730e+01 -5.234987730e+01 -8.5921e-01 -1.2922e+00
252 0 +8.421886614e-05 -5.234991578e+01 -5.234991578e+01 -8.6091e-01 -1.2856e+00
253 0 +6.784810737e-05 -5.234993215e+01 -5.234993215e+01 -8.6473e-01 -1.2714e+00
304 0 +5.384430119e-05 -5.234994616e+01 -5.234994616e+01 -8.7658e-01 -1.2277e+00
312 0 +3.066362173e-05 -5.234996934e+01 -5.234996934e+01 -8.7568e-01 -1.2313e+00
314 0 +1.852787221e-05 -5.234998147e+01 -5.234998147e+01 -8.7631e-01 -1.2289e+00
360 0 +3.948085762e-06 -5.234999605e+01 -5.234999605e+01 -8.6840e-01 -1.2581e+00
393 0 +9.882775984e-07 -5.234999901e+01 -5.234999901e+01 -8.6978e-01 -1.2530e+00
434 0 +2.640903105e-07 -5.234999974e+01 -5.234999974e+01 -8.7149e-01 -1.2467e+00
