% f evaluations | g evaluations | best noise-free fitness - Fopt (2.997000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.090113928e+03 +2.120083928e+03 +2.120083928e+03 +5.9671e-01 -3.8264e-02 +7.4769e-01 +1.6230e+00 -1.3415e-01 -1.3414e-01 +1.6792e+00 +8.6743e-01 -3.6947e-01 +6.4256e-01
2 0 +1.734222334e+03 +1.764192334e+03 +1.764192334e+03 -3.6342e-01 -3.6573e-01 +3.4196e-01 -1.8133e+00 -1.6249e+00 -4.6229e-01 -9.1283e-01 +4.1425e-01 -8.0802e-01 -1.3123e+00
3 0 +1.679613005e+03 +1.709583005e+03 +1.709583005e+03 +1.5656e+00 -1.2578e-01 +1.6753e-01 -1.3247e+00 -4.4438e-01 +2.1092e-01 -1.0510e+00 +4.7570e-01 -5.0064e-01 -1.9169e-01
4 0 +1.649351189e+03 +1.679321189e+03 +1.679321189e+03 -5.0171e-01 +1.9523e+00 +8.6503e-02 -9.5771e-01 +9.2254e-01 -1.1208e+00 +3.0886e-01 -1.8597e+00 -1.2282e+00 +2.9686e-01
6 0 +1.411193979e+03 +1.441163979e+03 +1.441163979e+03 +4.2408e-01 -2.8508e-01 -5.7692e-01 +7.1168e-01 +1.1310e+00 +1.0313e+00 -7.3922e-01 -2.0921e-01 +4.3126e-01 +1.0755e+00
34 0 +1.375185793e+03 +1.405155793e+03 +1.405155793e+03 +8.7753e-02 -7.9725e-01 +1.7580e-01 -5.7716e-01 +1.0751e+00 -4.7057e-02 -7.2550e-01 -2.2139e-01 +5.1293e-01 -4.6372e-01
51 0 +1.293220103e+03 +1.323190103e+03 +1.323190103e+03 +1.9165e+00 -1.3977e+00 -1.7987e+00 +5.5619e-01 +1.1639e+00 +2.7810e+00 +1.8289e+00 -3.1394e+00 +7.9617e-01 -1.5360e+00
52 0 +1.104913376e+03 +1.134883376e+03 +1.134883376e+03 +7.4224e-01 -1.7567e+00 -9.2431e-01 -1.0918e+00 +5.1814e-01 +1.9563e+00 +1.1106e+00 -2.1085e+00 -1.2445e+00 -9.2177e-01
55 0 +1.086450059e+03 +1.116420059e+03 +1.116420059e+03 +2.1163e+00 -2.5311e+00 -3.1301e-01 +1.0940e+00 +2.6913e+00 +7.4962e-01 -2.0266e+00 -1.8161e-01 -6.6506e-01 -2.6457e-02
65 0 +1.063649359e+03 +1.093619359e+03 +1.093619359e+03 -1.4145e+00 -2.1543e-02 -1.5319e+00 -4.3213e-01 +1.0729e+00 +1.1488e+00 -1.1731e+00 -1.7489e+00 +8.9819e-02 +6.8965e-01
67 0 +1.041894835e+03 +1.071864835e+03 +1.071864835e+03 -9.7025e-01 -1.1064e+00 -4.1612e-01 -1.0008e+00 +2.5760e+00 +7.2362e-02 -1.3144e+00 -9.3647e-01 -2.5178e-01 -1.8602e+00
101 0 +6.028505199e+02 +6.328205199e+02 +6.328205199e+02 +1.9383e-01 -2.3145e+00 -2.4019e+00 -1.6827e+00 +3.1769e+00 +2.3420e+00 -2.1657e+00 -2.0527e+00 -1.9013e+00 -6.6291e-01
211 0 +4.911108302e+02 +5.210808302e+02 +5.210808302e+02 +2.1066e+00 -2.2633e+00 -2.9235e+00 -2.9558e+00 +4.0199e+00 +3.5223e+00 -3.7227e+00 -1.9384e+00 +9.1974e-01 -3.5118e+00
359 0 +4.063472576e+02 +4.363172576e+02 +4.363172576e+02 +1.3932e+00 -2.6839e+00 -3.4502e+00 -9.1864e-01 +4.4942e+00 +3.2566e+00 -3.2179e+00 -1.6301e+00 +2.2235e-01 -1.2297e+00
452 0 +3.983834062e+02 +4.283534062e+02 +4.283534062e+02 +5.3473e-01 -1.6758e+00 -2.1635e+00 -2.2379e+00 +3.0222e+00 +2.1418e+00 -4.5393e+00 -3.1071e+00 +1.9313e+00 -6.6565e-01
535 0 +3.426518093e+02 +3.726218093e+02 +3.726218093e+02 +1.0144e+00 -1.6075e+00 -3.1823e+00 -3.8103e-01 +3.4002e+00 +2.9503e+00 -4.6036e+00 -2.4737e+00 +1.7121e+00 -9.6025e-01
627 0 +2.623023161e+02 +2.922723161e+02 +2.922723161e+02 +1.9380e+00 -1.8800e+00 -4.1644e+00 -1.1991e+00 +4.1641e+00 +3.2733e+00 -4.2152e+00 -2.5855e+00 -2.5015e-01 -1.7721e+00
691 0 +2.035643820e+02 +2.335343820e+02 +2.335343820e+02 +1.0268e+00 -2.3625e+00 -3.8322e+00 -1.3789e+00 +3.5615e+00 +3.3310e+00 -3.7592e+00 -2.8040e+00 +2.3193e-01 -1.6236e+00
948 0 +1.939321710e+02 +2.239021710e+02 +2.239021710e+02 +1.6064e+00 -2.1108e+00 -2.9132e+00 -1.5927e+00 +3.5028e+00 +3.2576e+00 -3.9851e+00 -2.9764e+00 +6.8180e-01 -2.1054e+00
981 0 +1.665533986e+02 +1.965233986e+02 +1.965233986e+02 +4.2238e-01 -2.0166e+00 -3.8683e+00 -1.4447e+00 +2.7789e+00 +3.3017e+00 -3.6514e+00 -3.1526e+00 +8.0333e-01 -1.7305e+00
