% f evaluations | g evaluations | best noise-free fitness - Fopt (2.997000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.462433005e+03 +1.492403005e+03 +1.492403005e+03 +5.9671e-01 -3.8264e-02 +7.4769e-01 +1.6230e+00 -1.3415e-01
2 0 +1.061073956e+03 +1.091043956e+03 +1.091043956e+03 -1.3414e-01 +1.6792e+00 +8.6743e-01 -3.6947e-01 +6.4256e-01
3 0 +9.472936951e+02 +9.772636951e+02 +9.772636951e+02 -3.6342e-01 -3.6573e-01 +3.4196e-01 -1.8133e+00 -1.6249e+00
5 0 +8.776131466e+02 +9.075831466e+02 +9.075831466e+02 +1.5656e+00 -1.2578e-01 +1.6753e-01 -1.3247e+00 -4.4438e-01
7 0 +8.010567977e+02 +8.310267977e+02 +8.310267977e+02 -5.0171e-01 +1.9523e+00 +8.6503e-02 -9.5771e-01 +9.2254e-01
8 0 +5.991701095e+02 +6.291401095e+02 +6.291401095e+02 -1.1208e+00 +3.0886e-01 -1.8597e+00 -1.2282e+00 +2.9686e-01
34 0 +5.314301180e+02 +5.614001180e+02 +5.614001180e+02 +2.9569e-01 +1.6062e+00 -1.3285e+00 -1.5228e+00 +7.3355e-02
42 0 +3.347461501e+02 +3.647161501e+02 +3.647161501e+02 +3.4457e-02 -3.4902e-01 -2.0428e+00 -1.9223e+00 +1.5623e+00
80 0 +2.086596258e+02 +2.386296258e+02 +2.386296258e+02 -3.2214e-01 +1.0153e+00 -2.2261e+00 -2.3865e+00 +2.7407e+00
128 0 +1.700842427e+02 +2.000542427e+02 +2.000542427e+02 +5.0871e-01 -9.3034e-02 -2.8501e+00 -2.4223e+00 +3.6353e+00
215 0 +1.207512685e+02 +1.507212685e+02 +1.507212685e+02 -2.7259e-01 +2.0270e+00 -2.7218e+00 -1.7427e+00 +4.8466e+00
290 0 +1.084522464e+02 +1.384222464e+02 +1.384222464e+02 +4.6182e-02 +1.4257e+00 -2.9853e+00 -1.5094e+00 +4.7975e+00
307 0 +1.034234231e+02 +1.333934231e+02 +1.333934231e+02 +5.5077e-01 +1.9714e-01 -2.9342e+00 -2.0267e+00 +3.5215e+00
363 0 +7.457185651e+01 +1.045418565e+02 +1.045418565e+02 +2.8049e-01 -4.1440e-01 -3.1379e+00 -1.7428e+00 +3.2622e+00
430 0 +7.361251041e+01 +1.035825104e+02 +1.035825104e+02 +4.3577e-01 +8.7213e-02 -3.1572e+00 -1.5730e+00 +4.0274e+00
