model,final_rank
doe_2_8,73.5
doe_4_4,72.83333333333333
doe_2_16,69.83333333333333
doe_2_4,69.83333333333333
doe_4_16,68.25
doe_4_8,66.66666666666667
doe_2_2,62.833333333333336
doe_8_16,59.5
doe_8_8,59.0
doe_1_1,55.833333333333336
doe_4_2,55.75
doe_2_1,55.166666666666664
doe_8_4,53.0
doe_1_8,47.666666666666664
doe_4_1,47.0
doe_1_4,44.833333333333336
doe_1_2,42.666666666666664
doe_1_16,41.5
doe_16_16,40.833333333333336
doe_16_1,39.416666666666664
doe_8_2,38.333333333333336
doe_8_1,36.166666666666664
doe_16_8,33.75
doe_16_4,33.0
doe_16_2,32.833333333333336
