% f evaluations | g evaluations | best noise-free fitness - Fopt (4.078000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +6.478954112e+01 +1.055695411e+02 +1.055695411e+02 +5.9671e-01 -3.8264e-02 +7.4769e-01 +1.6230e+00 -1.3415e-01 -1.3414e-01 +1.6792e+00 +8.6743e-01 -3.6947e-01 +6.4256e-01
8 0 +4.511787342e+01 +8.589787342e+01 +8.589787342e+01 +4.6140e-01 +1.6380e+00 +6.4174e-02 +1.6646e+00 -2.5197e+00 +9.2190e-01 +1.8705e-01 -1.9901e-01 +1.9176e-01 -1.8876e+00
26 0 +3.189769581e+01 +7.267769581e+01 +7.267769581e+01 -1.1609e+00 +1.0179e+00 +2.2222e+00 +1.1325e+00 -1.4194e+00 -3.8423e-01 +1.3669e+00 -6.0767e-01 +5.4382e-01 +8.7463e-01
193 0 +2.192828137e+01 +6.270828137e+01 +6.270828137e+01 +3.7066e-01 +2.6493e+00 +4.7801e-01 +2.4641e+00 -2.7979e+00 +5.0693e-01 +1.4158e+00 -6.2646e-01 -3.4446e-02 +6.4788e-01
353 0 +1.085645642e+01 +5.163645642e+01 +5.163645642e+01 +2.0201e+00 +2.5634e+00 +6.6911e-01 +2.1809e+00 -2.3885e+00 -1.8330e-01 +4.9921e-01 -2.4532e+00 -1.3944e-01 +4.4411e-01
465 0 +8.815780581e+00 +4.959578058e+01 +4.959578058e+01 +2.6125e+00 +2.4846e+00 +6.5880e-01 +1.2379e+00 -1.7262e+00 -9.1228e-01 +6.4424e-02 -2.3030e+00 +3.6025e-01 +2.2007e+00
753 0 +8.740690222e+00 +4.952069022e+01 +4.952069022e+01 +3.1051e+00 +1.1161e+00 +3.6724e-01 +1.5253e+00 -4.3421e-01 -1.6151e+00 -1.4839e-02 -1.6895e+00 +1.6796e+00 +7.3998e-01
807 0 +7.848143466e+00 +4.862814347e+01 +4.862814347e+01 +3.3088e+00 +1.3446e+00 +2.2813e-01 +2.5443e+00 -2.7144e-02 -2.1492e+00 +2.9380e-01 -3.2772e+00 +2.2213e+00 -7.5345e-01
1009 0 +7.336183736e+00 +4.811618374e+01 +4.811618374e+01 +3.0601e+00 +2.2347e+00 -8.5215e-01 +3.2020e+00 +8.3474e-01 -1.0900e+00 -3.0592e-01 -4.8024e+00 +1.2633e+00 -1.5936e+00
1037 0 +6.615066276e+00 +4.739506628e+01 +4.739506628e+01 +3.2012e+00 +2.4762e+00 -5.1536e-01 +3.3959e+00 +4.3183e-01 -9.9043e-01 -2.2281e-01 -4.3144e+00 +1.4366e+00 -4.3143e-01
1310 0 +5.877403103e+00 +4.665740310e+01 +4.665740310e+01 +3.1901e+00 +1.9715e+00 -2.5173e-01 +2.2078e+00 -4.8175e-01 -1.7645e+00 -1.7755e-01 -3.3426e+00 +1.2017e+00 +8.6585e-01
1327 0 +3.171640875e+00 +4.395164088e+01 +4.395164088e+01 +2.8302e+00 +2.5504e+00 -5.6245e-01 +2.3454e+00 -3.5109e-01 -9.8796e-01 -1.3152e-01 -4.0290e+00 +1.5996e-01 +2.3186e-01
1695 0 +3.014334749e+00 +4.379433475e+01 +4.379433475e+01 +3.6996e+00 +1.9966e+00 -2.6533e-01 +1.8812e+00 +2.0208e-01 -1.8789e+00 +4.8214e-02 -4.0680e+00 +9.9195e-01 -1.3697e-01
1722 0 +2.556582741e+00 +4.333658274e+01 +4.333658274e+01 +3.6736e+00 +1.8924e+00 -4.2283e-01 +2.0607e+00 +1.9409e-02 -1.8865e+00 -2.2764e-02 -3.8884e+00 +1.3738e+00 +1.2287e+00
1848 0 +2.397084485e+00 +4.317708449e+01 +4.317708449e+01 +3.2636e+00 +2.1630e+00 +5.4244e-02 +2.0913e+00 -3.6883e-01 -1.4224e+00 +1.6309e-01 -3.6450e+00 +8.3237e-01 +5.4931e-01
2180 0 +2.388647272e+00 +4.316864727e+01 +4.316864727e+01 +3.0739e+00 +2.2798e+00 -5.3115e-02 +2.1064e+00 -3.6895e-01 -1.2043e+00 +1.2803e-01 -3.4517e+00 +8.0545e-01 +9.7120e-01
2252 0 +2.337962350e+00 +4.311796235e+01 +4.311796235e+01 +3.2291e+00 +2.3309e+00 -2.7030e-01 +2.1906e+00 -1.5508e-01 -1.4181e+00 +4.2954e-02 -3.9238e+00 +7.5579e-01 +8.3184e-01
2370 0 +2.323201250e+00 +4.310320125e+01 +4.310320125e+01 +3.3714e+00 +2.2380e+00 -2.7644e-01 +2.1287e+00 -1.6462e-01 -1.4445e+00 +5.0612e-02 -3.7187e+00 +1.0709e+00 +1.0402e+00
