% f evaluations | g evaluations | best noise-free fitness - Fopt (-2.098800000000e+02) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +3.881792436e+06 +3.881582556e+06 +3.881582556e+06 +5.9671e-01 -3.8264e-02 +7.4769e-01 +1.6230e+00 -1.3415e-01
2 0 +1.683626694e+06 +1.683416814e+06 +1.683416814e+06 -1.3414e-01 +1.6792e+00 +8.6743e-01 -3.6947e-01 +6.4256e-01
7 0 +1.022656255e+06 +1.022446375e+06 +1.022446375e+06 -5.0171e-01 +1.9523e+00 +8.6503e-02 -9.5771e-01 +9.2254e-01
11 0 +4.809329989e+05 +4.807231189e+05 +4.807231189e+05 +4.2408e-01 -2.8508e-01 -5.7692e-01 +7.1168e-01 +1.1310e+00
27 0 +9.188126482e+04 +9.167138482e+04 +9.167138482e+04 -8.7205e-01 -5.2606e-01 -1.0645e+00 +1.0520e+00 +1.7191e+00
62 0 +3.579222563e+04 +3.558234563e+04 +3.558234563e+04 +1.2819e+00 +9.7266e-01 -8.9218e-02 +1.5346e+00 +1.8306e+00
131 0 +2.974096990e+04 +2.953108990e+04 +2.953108990e+04 +3.5790e-01 +2.6159e-01 -3.6263e-01 +1.7589e+00 +1.7214e+00
180 0 +1.855300309e+04 +1.834312309e+04 +1.834312309e+04 +1.5091e+00 +2.9244e+00 +8.9959e-01 +2.4289e+00 +1.8861e+00
228 0 +1.813732289e+04 +1.792744289e+04 +1.792744289e+04 +6.8390e-01 +9.8708e-01 +2.2518e+00 +1.6354e+00 +1.7534e+00
254 0 +1.493422273e+04 +1.472434273e+04 +1.472434273e+04 +4.0984e-01 +2.1586e+00 +4.9543e-01 +2.3918e+00 +1.8661e+00
257 0 +1.240772110e+04 +1.219784110e+04 +1.219784110e+04 +1.1965e+00 +3.8945e-01 +5.3429e-01 +2.7250e+00 +1.7874e+00
262 0 +1.194278465e+04 +1.173290465e+04 +1.173290465e+04 +1.0003e+00 +8.4685e-01 +4.4403e-01 +2.5652e+00 +1.8268e+00
299 0 +7.449395327e+03 +7.239515327e+03 +7.239515327e+03 +1.8826e+00 +1.7178e+00 +1.3189e+00 +2.4180e+00 +1.7371e+00
325 0 +4.219886650e+03 +4.010006650e+03 +4.010006650e+03 +1.0536e+00 +7.3635e-01 +3.7283e+00 +2.7261e+00 +1.7638e+00
370 0 +3.138148945e+03 +2.928268945e+03 +2.928268945e+03 +2.7117e+00 +9.4974e-01 +2.8486e+00 +2.1495e+00 +1.8183e+00
465 0 +2.093469616e+03 +1.883589616e+03 +1.883589616e+03 -1.7860e-01 -3.4173e+00 +3.4997e+00 +2.2172e+00 +1.8090e+00
572 0 +2.042886501e+03 +1.833006501e+03 +1.833006501e+03 +1.8059e+00 +4.3104e+00 +3.4319e+00 +2.3729e+00 +1.8264e+00
580 0 +1.210201426e+03 +1.000321426e+03 +1.000321426e+03 +4.8868e+00 +4.9452e+00 +3.2979e+00 +2.4846e+00 +1.7974e+00
614 0 +1.135798205e+03 +9.259182046e+02 +9.259182046e+02 +4.1840e+00 +3.1405e+00 +3.5175e+00 +2.5493e+00 +1.7938e+00
636 0 +9.548299436e+02 +7.449499436e+02 +7.449499436e+02 +4.1724e+00 +3.6746e+00 +4.1992e+00 +2.3375e+00 +1.7945e+00
723 0 +8.487163431e+02 +6.388363431e+02 +6.388363431e+02 +4.6252e+00 +3.6231e+00 +4.2465e+00 +2.4119e+00 +1.7897e+00
738 0 +7.766922810e+02 +5.668122810e+02 +5.668122810e+02 +4.3337e+00 +4.3432e+00 +3.9574e+00 +2.4108e+00 +1.7968e+00
752 0 +5.397197359e+02 +3.298397359e+02 +3.298397359e+02 +3.4629e+00 +1.8856e+00 +3.0471e+00 +2.4050e+00 +1.8000e+00
772 0 +4.924786501e+02 +2.825986501e+02 +2.825986501e+02 +3.7505e+00 +2.4187e+00 +3.2222e+00 +2.3936e+00 +1.8018e+00
782 0 +1.753127914e+02 -3.456720862e+01 -3.456720862e+01 +3.7066e+00 +4.2586e-01 +3.2229e+00 +2.3937e+00 +1.7928e+00
785 0 +9.890685800e+01 -1.109731420e+02 -1.109731420e+02 +3.6159e+00 +4.6753e-01 +3.3368e+00 +2.4100e+00 +1.7903e+00
899 0 +6.714489913e+01 -1.427351009e+02 -1.427351009e+02 +2.9938e+00 +1.1172e+00 +3.5532e+00 +2.4103e+00 +1.7912e+00
984 0 +3.164611206e+01 -1.782338879e+02 -1.782338879e+02 +1.6744e+00 -2.3021e-01 +3.5477e+00 +2.3812e+00 +1.7896e+00
1043 0 +2.486581867e+01 -1.850141813e+02 -1.850141813e+02 +3.3351e+00 +7.1203e-01 +3.6005e+00 +2.3669e+00 +1.7837e+00
1194 0 +2.005032210e+01 -1.898296779e+02 -1.898296779e+02 +2.1205e+00 +9.0384e-01 +3.6576e+00 +2.3898e+00 +1.7865e+00
1204 0 +1.672522471e+01 -1.931547753e+02 -1.931547753e+02 +2.9134e+00 +6.9042e-01 +3.6003e+00 +2.4049e+00 +1.7853e+00
1229 0 +1.294982676e+01 -1.969301732e+02 -1.969301732e+02 +3.7498e+00 +6.6648e-01 +3.5823e+00 +2.3787e+00 +1.7842e+00
1236 0 +6.152460891e+00 -2.037275391e+02 -2.037275391e+02 +2.8223e+00 +6.4534e-01 +3.5930e+00 +2.3892e+00 +1.7845e+00
