% f evaluations | g evaluations | best noise-free fitness - Fopt (-5.494000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.460747422e+07 +1.460741928e+07 +1.460741928e+07 +5.9671e-01 -3.8264e-02 +7.4769e-01 +1.6230e+00 -1.3415e-01 -1.3414e-01 +1.6792e+00 +8.6743e-01 -3.6947e-01 +6.4256e-01
3 0 +1.121714553e+07 +1.121709059e+07 +1.121709059e+07 +1.5656e+00 -1.2578e-01 +1.6753e-01 -1.3247e+00 -4.4438e-01 +2.1092e-01 -1.0510e+00 +4.7570e-01 -5.0064e-01 -1.9169e-01
6 0 +8.192074538e+06 +8.192019598e+06 +8.192019598e+06 +4.2408e-01 -2.8508e-01 -5.7692e-01 +7.1168e-01 +1.1310e+00 +1.0313e+00 -7.3922e-01 -2.0921e-01 +4.3126e-01 +1.0755e+00
13 0 +4.258209999e+06 +4.258155059e+06 +4.258155059e+06 +8.9103e-01 -8.0939e-01 +1.5028e+00 -1.3019e+00 +6.8686e-01 +2.2905e+00 -8.9054e-01 -4.6630e-01 +1.9965e-01 -4.0348e-01
24 0 +2.783131062e+06 +2.783076122e+06 +2.783076122e+06 -6.3037e-01 +3.1646e-01 +1.4557e-01 -5.5160e-01 +2.2439e+00 +7.3392e-01 -1.9251e+00 +2.8645e-01 -5.6179e-01 +9.5243e-01
51 0 +2.140876417e+06 +2.140821477e+06 +2.140821477e+06 +1.8029e-01 +2.8992e+00 +8.9986e-01 -7.4020e-02 +3.6203e+00 +1.6403e+00 -3.1454e-01 +2.9286e+00 +1.2014e+00 +1.3358e+00
62 0 +1.370249274e+06 +1.370194334e+06 +1.370194334e+06 +3.7186e-01 +4.6674e-01 +3.7764e+00 -2.5447e+00 +2.7558e+00 +5.3495e-01 -1.0490e+00 -2.1362e+00 -2.9245e-01 +3.8002e-01
68 0 +1.157081643e+06 +1.157026703e+06 +1.157026703e+06 +1.3241e+00 -4.2510e-01 +3.4921e+00 -2.2565e+00 +2.8583e+00 +1.9632e+00 -9.2766e-02 +2.0088e-01 +1.7996e+00 +7.4104e-01
108 0 +5.719204005e+05 +5.718654605e+05 +5.718654605e+05 +3.1035e+00 +5.1418e-01 +2.7313e+00 -1.2633e+00 +4.3560e+00 +2.1677e+00 -2.2024e-01 +6.6908e-01 +9.5592e-01 +5.6051e-01
125 0 +2.018581513e+05 +2.018032113e+05 +2.018032113e+05 +3.9588e-01 +2.1950e+00 +1.4180e+00 -2.0626e+00 +4.8043e+00 +3.8949e+00 -1.5364e+00 +1.0492e+00 +2.6995e-02 +4.0236e-01
