% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.210000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
326 0 +6.553159641e+00 +9.482231596e+02 +9.482231596e+02 -4.9234e+00 -2.5742e+00 +4.6179e+00 +4.8782e+00 -4.9730e+00
451 0 +6.434708083e+00 +9.481047081e+02 +9.481047081e+02 -4.9274e+00 -3.8822e+00 +4.4681e+00 +4.8859e+00 -4.7949e+00
551 0 +5.367886094e+00 +9.470378861e+02 +9.470378861e+02 -4.9808e+00 -4.5444e+00 +4.8419e+00 +4.5494e+00 -4.8495e+00
576 0 +5.328076436e+00 +9.469980764e+02 +9.469980764e+02 -4.4095e+00 -3.8250e+00 +4.6859e+00 +4.8342e+00 -4.9278e+00
584 0 +4.325276380e+00 +9.459952764e+02 +9.459952764e+02 -4.2493e+00 -4.6152e+00 +4.7277e+00 +4.8025e+00 -4.9081e+00
626 0 +3.458142076e+00 +9.451281421e+02 +9.451281421e+02 -4.0105e+00 -4.3796e+00 +4.8199e+00 +4.9663e+00 -4.9393e+00
651 0 +3.068289258e+00 +9.447382893e+02 +9.447382893e+02 -4.5274e+00 -4.3259e+00 +4.8906e+00 +4.8466e+00 -4.9812e+00
693 0 +2.837648896e+00 +9.445076489e+02 +9.445076489e+02 -4.8007e+00 -3.7082e+00 +4.9646e+00 +4.9830e+00 -4.9866e+00
701 0 +2.540352604e+00 +9.442103526e+02 +9.442103526e+02 -4.9674e+00 -4.8402e+00 +4.8859e+00 +4.7151e+00 -4.9739e+00
721 0 +2.514541909e+00 +9.441845419e+02 +9.441845419e+02 -4.9397e+00 -4.1938e+00 +4.8400e+00 +4.9678e+00 -4.9666e+00
726 0 +2.495401852e+00 +9.441654019e+02 +9.441654019e+02 -4.6523e+00 -4.8385e+00 +4.7721e+00 +4.8501e+00 -4.9703e+00
768 0 +2.073091081e+00 +9.437430911e+02 +9.437430911e+02 -4.5167e+00 -4.5453e+00 +4.8725e+00 +4.9843e+00 -4.9710e+00
776 0 +1.767460395e+00 +9.434374604e+02 +9.434374604e+02 -4.9935e+00 -4.9275e+00 +4.9769e+00 +4.9117e+00 -4.8937e+00
801 0 +1.633683038e+00 +9.433036830e+02 +9.433036830e+02 -4.7235e+00 -4.8561e+00 +4.7611e+00 +4.9703e+00 -4.9821e+00
